current_price,old_price,vendor,product_name,month,prev_month_avg
4.99,5.49,Loblaws,"Naturegg Nest Laid White Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
4.28,5.99,TandT,Naturegg Large Omega-3 Brown Eggs (12s),May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
4.99,5.49,Loblaws,"Naturegg Nest Laid White Eggs, Large",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
4.28,5.99,TandT,Naturegg Large Omega-3 Brown Eggs (12s),May,6.018972972972973
4.28,5.99,TandT,Naturegg Large Omega-3 Brown Eggs (12s),May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
4.99,6.09,Loblaws,"Naturegg Omega 3 White Eggs, Large",May,6.018972972972973
4.99,6.09,Loblaws,"Naturegg Omega 3 White Eggs, Large",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.99,6.09,Loblaws,"Naturegg Omega 3 White Eggs, Large",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
4.99,5.59,Loblaws,"Nature's Best White Eggs, Large",May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.99,5.59,Loblaws,"Nature's Best White Eggs, Large",May,6.018972972972973
4.99,5.59,Loblaws,"Nature's Best White Eggs, Large",May,6.018972972972973
4.99,5.49,Loblaws,"Naturegg Nest Laid White Eggs, Large",May,6.018972972972973
5.49,6.09,Voila,Gold Egg Omega 3 White Eggs Large 12 Count,May,6.018972972972973
4.99,6.09,Loblaws,"Naturegg Omega 3 White Eggs, Large",May,6.018972972972973
4.99,6.09,Loblaws,"Naturegg Omega 3 White Eggs, Large",May,6.018972972972973
4.99,6.09,Loblaws,"Naturegg Omega 3 White Eggs, Large",May,6.018972972972973
4.99,6.09,Loblaws,"Naturegg Omega 3 White Eggs, Large",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
4.28,5.99,TandT,Naturegg Large Omega-3 Brown Eggs (12s),May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.88,8.09,Metro,"Free Run Hence Large Eggs, Naturalia",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
3.88,5.39,TandT,Burnbrae Farms Large Brown Eggs (12s),May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
4.99,5.49,Loblaws,"Naturegg Nest Laid White Eggs, Large",May,6.018972972972973
3.88,5.49,TandT,Burnbrae Farms Large Brown Eggs (12s),May,6.018972972972973
4.99,5.59,Loblaws,"Nature's Best White Eggs, Large",May,6.018972972972973
4.99,5.49,Loblaws,"Naturegg Nest Laid White Eggs, Large",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
4.99,5.49,Loblaws,"Naturegg Nest Laid White Eggs, Large",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
3.88,5.49,TandT,Burnbrae Farms Large Brown Eggs (12s),May,6.018972972972973
3.88,5.49,TandT,Burnbrae Farms Large Brown Eggs (12s),May,6.018972972972973
4.99,5.59,Loblaws,"Nature's Best White Eggs, Large",May,6.018972972972973
4.99,5.59,Loblaws,"Nature's Best White Eggs, Large",May,6.018972972972973
3.88,5.49,TandT,Burnbrae Farms Large Brown Eggs (12s),May,6.018972972972973
4.99,5.49,Loblaws,"Naturegg Nest Laid White Eggs, Large",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
4.88,8.09,Metro,"Free Run Hence Large Eggs, Naturalia",May,6.018972972972973
4.88,8.09,Metro,"Free Run Hence Large Eggs, Naturalia",May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
4.99,5.49,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,May,6.018972972972973
4.99,5.49,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
3.88,5.6,TandT,Burnbrae Farms Large Brown Eggs (12s),May,6.018972972972973
3.88,5.6,TandT,Burnbrae Farms Large Brown Eggs (12s),May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
4.99,5.59,Loblaws,"Nature's Best White Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
4.88,6.59,Metro,"Large Eggs Form Free Run Hens, Naturalia",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
4.99,5.49,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,May,6.018972972972973
4.99,5.49,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,May,6.018972972972973
4.99,5.49,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
4.88,6.59,Metro,"Large Eggs Form Free Run Hens, Naturalia",May,6.018972972972973
4.99,5.49,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,May,6.018972972972973
6.29,7.29,Voila,Conestoga Farms Omega 3 Brown Eggs Free Run Large 12 Count,May,6.018972972972973
4.99,5.49,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.99,6.89,Metro,Large White Free Run Omega-3 Eggs,May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.99,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
4.88,6.59,Metro,"Large Eggs Form Free Run Hens, Naturalia",May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.44,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.88,6.59,Metro,"Large Eggs Form Free Run Hens, Naturalia",May,6.018972972972973
5.44,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
7.49,7.99,Loblaws,"Naturegg Solar Free Range Eggs, Large",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
4.99,6.99,NoFrills,Free Run Brown Eggs Large,May,6.018972972972973
4.88,6.59,Metro,"Large Eggs Form Free Run Hens, Naturalia",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
4.28,5.99,TandT,Naturegg Large Omega-3 Brown Eggs (12s),May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
4.28,5.99,TandT,Naturegg Large Omega-3 Brown Eggs (12s),May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
5.27,5.73,Walmart,"Great Value Omega-3 Large White Eggs, 12 count",May,6.018972972972973
4.28,5.99,TandT,Naturegg Large Omega-3 Brown Eggs (12s),May,6.018972972972973
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.49,5.68,Loblaws,"Nature's Best White Eggs, Large",Sep,5.8931623931623935
4.99,6.99,Metro,"Large Eggs Form Free Run Hens, Naturalia",Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.99,6.29,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,Sep,5.8931623931623935
4.99,6.99,Metro,"Large Eggs Form Free Run Hens, Naturalia",Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Omega Plus Solar Free Range Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.99,6.59,Voila,Gold Egg Omega 3 Brown Eggs Large 12 Count,Sep,5.8931623931623935
5.49,6.09,Voila,Gold Egg Omega 3 White Eggs Large 12 Count,Sep,5.8931623931623935
5.49,6.09,Voila,Gold Egg Omega 3 White Eggs Large 12 Count,Sep,5.8931623931623935
5.99,6.29,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,Sep,5.8931623931623935
5.49,6.29,Loblaws,Naturegg NestlaidOmega 3 Large Size 12 Eggs,Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
4.99,6.99,Metro,"Large Eggs Form Free Run Hens, Naturalia",Sep,5.8931623931623935
5.49,5.68,Loblaws,"Nature's Best White Eggs, Large",Sep,5.8931623931623935
4.49,6.04,TandT,Watson Salted Cooked Duck Eggs (312g),Sep,5.8931623931623935
5.49,5.68,Loblaws,"Nature's Best White Eggs, Large",Sep,5.8931623931623935
5.49,5.68,Loblaws,"Nature's Best White Eggs, Large",Sep,5.8931623931623935
5.49,5.68,Loblaws,"Nature's Best White Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.49,7.08,Loblaws,"Naturegg Omega Plus White Eggs, Large",Sep,5.8931623931623935
5.49,5.68,Loblaws,"Nature's Best White Eggs, Large",Sep,5.8931623931623935
5.49,5.68,Loblaws,"Nature's Best White Eggs, Large",Sep,5.8931623931623935
5.49,5.68,Loblaws,"Nature's Best White Eggs, Large",Sep,5.8931623931623935
5.99,8.08,Loblaws,"Naturegg Solar Free Range Eggs, Large",Sep,5.8931623931623935
